Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No,District,Municipality,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,6/30/2022,01. Approach Embankment, 359. Replace sidedrain/gutter/downchutes,A2,7,1570,m,10990,4,4,4,36,3
1056,P95/1 over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,6/30/2022,01. Approach Embankment, 404. Remove trees (girth < 500 mm),A2,1,750,No,750,1,1,4,533,1
1068,D737 over Eloff river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,04. Approach Embankment Protection Works, 158. Rock backfill,A1,20,2770,m3,55400,3,4,4,7,3
1068,D737 over Eloff river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,2,2,0,0,3
1068,D737 over Eloff river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BA,20,9190,m3,183800,2,2,4,2,3
1068,D737 over Eloff river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,04. Approach Embankment Protection Works, 159. Stone pitching,A1,25,950,m2,23750,3,4,4,17,3
1068,D737 over Eloff river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,100,950,m,95000,2,2,0,0,3
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,Sekhukhune,,6/30/2022,14. Piers & Columns, 207. Clear debris,P4,1,750,m3,750,3,3,4,533,1
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,Sekhukhune,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,140,1220,m,170800,3,3,1,1,3
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,Sekhukhune,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,50,750,L,37500,2,2,4,11,3
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,Sekhukhune,,6/30/2022,11. Parapet, 456. New pedestrian parapet,S2-S4,16,5090,m,81440,4,4,16,20,3
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,Sekhukhune,,6/30/2022,11. Parapet, 456. New pedestrian parapet,"S1,S3,S9",15,5090,m,76350,4,4,16,21,3
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,Sekhukhune,,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,300,750,L,225000,3,3,16,7,3
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,Sekhukhune,,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),"S1,S9",2,750,No,1500,2,2,1,67,1
1105,P51/3  over Blood river,Bridge,Bridge,2/2/2022,,Sekhukhune,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),A1,40,950,m,38000,4,4,9,24,3
1120,P98/2 over river,Bridge,Bridge,9/4/2021,,Vhembe,,6/30/2022,14. Piers & Columns, 103. Clean concrete surface,AP,60,150,m2,9000,3,4,4,44,2
1120,P98/2 over river,Bridge,Bridge,9/4/2021,,Vhembe,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,36,1220,m,43920,3,4,9,20,3
1120,P98/2 over river,Bridge,Bridge,9/4/2021,,Vhembe,,6/30/2022,17. Expansion Joints, 702. Traffic accommodation-Low (< 10 000 vpd),AP,1,137950,LS,137950,3,4,9,7,3
1120,P98/2 over river,Bridge,Bridge,9/4/2021,,Vhembe,,6/30/2022,08. Surfacing, 502. Resurface or patch,A1,200,750,m2,150000,3,4,9,6,3
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,22,1220,m,26840,2,2,1,4,3
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,70,3100,m,217000,2,2,1,0,3
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,10,750,L,7500,2,2,1,13,3
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,AP,22,340,m,7480,2,2,1,13,3
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,14. Piers & Columns, 953. Ad-hoc item (describe under Remarks),P2,1,1080,No,1080,1,1,1,93,1
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,6,340,No,2040,1,1,1,49,2
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,03. Waterway, 1628. Clear Vegetation,S1,10,50,m2,500,1,1,1,200,1
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 155. Earth backfill,A1,4,630,m3,2520,2,2,1,40,3
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,03. Waterway, 151. Backfill scour damage (earth),S1,30,950,m3,28500,1,1,1,4,3
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,1,3,3
1134,D 192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,12,3100,No,37200,3,4,1,3,3
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,08. Surfacing, 209. Clear siltation,AS,3,630,m3,1890,1,1,1,53,2
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BA,2,5380,No,10760,1,1,4,37,3
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,3,4,4,13,3
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,30,1220,m,36600,2,2,4,11,3
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,AP,30,340,m,10200,2,2,4,39,3
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,10,340,No,3400,1,1,1,29,3
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,03. Waterway, 207. Clear debris,"P2,P3",5,750,m3,3750,1,1,1,27,3
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",BA,30,630,m,18900,1,1,4,21,3
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,3,4,4,32,3
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 155. Earth backfill,A2,10,630,m3,6300,3,4,4,63,2
1192,D2700 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,10,3100,No,31000,1,1,1,3,3
1201,D447 over Brand Boontjies riv,Bridge,Bridge,7/31/2021,,Mopani,,6/30/2022,11. Parapet, 454. New endblocks,S1,1,15350,No,0,0,0,4,9999999,1
1201,D447 over Brand Boontjies riv,Bridge,Bridge,7/31/2021,,Mopani,,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),S1,2,750,L,0,0,0,1,9999999,1
1201,D447 over Brand Boontjies riv,Bridge,Bridge,7/31/2021,,Mopani,,6/30/2022,01. Approach Embankment, 402. Clear bush,BA,120,80,m2,9600,1,1,1,10,3
1209,D2533 over river,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,S1,4,3100,No,12400,3,4,1,8,3
1209,D2533 over river,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,4,13,3
1209,D2533 over river,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,08. Surfacing, 209. Clear siltation,S1,2,630,m3,1260,1,1,1,79,1
1209,D2533 over river,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 155. Earth backfill,A2,2,630,m3,1260,1,1,4,317,1
1209,D2533 over river,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,S1,4,340,No,1360,1,1,1,74,1
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,08. Surfacing, 209. Clear siltation,AS,4,630,m3,2520,1,1,1,40,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BA,AP",125,1220,m,152500,1,1,1,1,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,13. Pier Foundations, 158. Rock backfill,"P1-P4,P8,P9",200,2770,m3,554000,2,2,4,1,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,13. Pier Foundations, 156. Gabion (mattresses and boxes),AP,250,3100,m3,775000,2,2,4,1,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,100,750,L,75000,1,1,1,1,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,01. Approach Embankment, 402. Clear bush,BA,200,80,m2,16000,1,1,1,6,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,08. Surfacing, 502. Resurface or patch,AS,760,750,m2,570000,1,1,1,0,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,07. Wing/ Retaining Walls, 654. Access-using scaffold (< 10 m),BA,2,4640,No,9280,2,2,4,43,2
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BA,6,750,m,4500,2,2,4,89,1
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,06. Abutments, 654. Access-using scaffold (< 10 m),A2,1,4640,No,4640,2,2,9,194,1
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,06. Abutments, 122. Stabilise wall with ground/rock anchors,A2,15,7640,m2,114600,2,2,9,8,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,06. Abutments, 120. Seal cracks,A2,5,750,m,3750,2,2,9,240,1
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,01. Approach Embankment, 702. Traffic accommodation-Low (< 10 000 vpd),BA,1,137950,LS,137950,1,1,1,1,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BA,10,9190,m3,91900,1,1,1,1,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,07. Wing/ Retaining Walls, 122. Stabilise wall with ground/rock anchors,A2,15,7640,m2,114600,2,2,4,3,3
1210,D19 over Hout river,Bridge,Bridge,7/16/2021,,Capricorn,,6/30/2022,11. Parapet, 101. Apply protective coating,AS,180,480,m2,86400,1,1,1,1,3
1233,P51/5 over Buffelsvlei river,Bridge,Bridge,2/1/2022,,Sekhukhune,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,200,950,m,190000,4,4,9,5,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,50,3100,m,155000,4,4,16,10,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,AP,12,340,m,4080,2,2,1,25,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,12,1220,m,14640,2,2,1,7,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,1,3,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BA,2,5380,No,10760,1,1,1,9,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,8,3100,No,24800,2,2,1,4,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 155. Earth backfill,A1,20,630,m3,12600,3,4,1,8,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,08. Surfacing, 209. Clear siltation,AS,5,630,m3,3150,1,1,1,32,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,05. Abutment Foundations, 157. Mass concrete backfill,A1,10,5500,m3,55000,3,4,4,7,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,03. Waterway, 209. Clear siltation,AS,30,630,m3,18900,2,2,4,21,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,03. Waterway, 207. Clear debris,AS,20,750,m3,15000,2,2,4,27,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,120,950,m,114000,3,4,4,4,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 402. Clear bush,BA,60,80,m2,4800,1,1,1,21,3
1248,D1231 over Rooisloot river,Bridge,Bridge,9/9/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,8,340,No,2720,1,1,1,37,3
1254,D1174 over Sand river,Bridge,Bridge,8/12/2021,,Vhembe,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P3,10,750,L,7500,3,4,1,13,3
1254,D1174 over Sand river,Bridge,Bridge,8/12/2021,,Vhembe,,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),"S3,S5-S7",200,750,L,150000,3,4,4,3,3
1254,D1174 over Sand river,Bridge,Bridge,8/12/2021,,Vhembe,,6/30/2022,03. Waterway, 207. Clear debris,"S1,S4",15,750,m3,11250,3,4,1,9,3
1254,D1174 over Sand river,Bridge,Bridge,8/12/2021,,Vhembe,,6/30/2022,18. Longitudinal Members, 654. Access-using scaffold (< 10 m),"S3,S5-S7",1,4640,No,4640,3,4,4,86,1
1256,D2631 over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,04. Approach Embankment Protection Works, 156. Gabion (mattresses and boxes),BA,80,3100,m3,248000,4,4,0,0,3
1256,D2631 over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,10. Kerbs / Sidewalks, 953. Ad-hoc item (describe under Remarks),AS,1,1080,No,0,0,0,1,9999999,1
1256,D2631 over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,11. Parapet, 104. Concrete (reinforced),AS,2,12270,m3,24540,4,4,9,37,3
1256,D2631 over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BA,AP",50,1220,m,61000,3,4,4,7,3
1256,D2631 over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,20. Decks and Slabs, 104. Concrete (reinforced),AS,5,12270,m3,61350,3,4,0,0,3
1256,D2631 over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BA,2,5380,No,10760,3,4,0,0,3
1313,D673 over Groot Letaba river,Bridge,Bridge,9/2/2021,,Mopani,,6/30/2022,01. Approach Embankment, 156. Gabion (mattresses and boxes),A2,20,3100,m3,62000,4,4,16,26,3
1313,D673 over Groot Letaba river,Bridge,Bridge,9/2/2021,,Mopani,,6/30/2022,17. Expansion Joints, 307. New multi element joint,"BA,AP",45,45990,m,2069550,3,4,4,0,3
1313,D673 over Groot Letaba river,Bridge,Bridge,9/2/2021,,Mopani,,6/30/2022,11. Parapet, 456. New pedestrian parapet,S4,12,5090,m,61080,4,4,4,7,3
1313,D673 over Groot Letaba river,Bridge,Bridge,9/2/2021,,Mopani,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),A2,16,950,m,15200,3,4,9,59,2
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,56,3100,No,173600,1,1,4,2,3
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BA,2,5380,No,10760,1,1,4,37,3
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,4,13,3
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,20. Decks and Slabs, 104. Concrete (reinforced),S1,0.5,12270,m3,6135,3,4,4,65,1
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,11. Parapet, 454. New endblocks,S1,1,15350,No,15350,3,4,16,104,1
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,56,340,No,19040,1,1,4,21,3
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,08. Surfacing, 209. Clear siltation,AS,5,630,m3,3150,2,2,1,32,3
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,03. Waterway, 207. Clear debris,AP,30,750,m3,22500,3,4,4,18,3
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,80,950,m,76000,3,4,4,5,3
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,3,4,4,32,3
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 156. Gabion (mattresses and boxes),BA,20,3100,m3,62000,3,4,4,6,3
1329,D1173 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,11. Parapet, 456. New pedestrian parapet,"S1,S2",10,5090,m,50900,4,4,16,31,3
1333,D1089 over groot nyl river,Major Culvert,Culvert Major,7/27/2021,,Waterberg,,6/30/2022,05. Waterway, 404. Remove trees (girth < 500 mm),E1,1,750,No,750,1,1,1,133,1
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,AP,30,340,m,10200,2,2,1,10,3
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BA,2,5380,No,10760,1,1,1,9,3
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,77,1220,m,93940,2,2,1,1,3
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,Waterberg,,6/30/2022,03. Waterway, 1628. Clear Vegetation,S6-S8,30,50,m2,1500,1,1,1,67,1
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 404. Remove trees (girth < 500 mm),A1,2,750,No,1500,1,1,1,67,1
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 155. Earth backfill,A1,2,630,m3,1260,1,1,1,79,1
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,1,3,3
1333A,D1087 over Groot Nyl river,Bridge,Bridge,7/27/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,32,3100,No,99200,2,2,1,1,3
1345,D2018 over Nzhelele river,Bridge,Bridge,8/12/2021,,Vhembe,,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,80,750,L,60000,3,4,1,2,3
1345,D2018 over Nzhelele river,Bridge,Bridge,8/12/2021,,Vhembe,,6/30/2022,11. Parapet, 314. Replace joint sealant,AS,250,340,m,85000,3,4,1,1,3
1353,P134/1 over Tobias river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,03. Waterway, 1628. Clear Vegetation,AS,100,50,m2,5000,2,2,1,20,3
1353,P134/1 over Tobias river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,1,3,3
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),AS,10,750,L,7500,2,2,1,13,3
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,3,4,1,3,3
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S2,20,750,L,15000,4,4,4,27,3
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,10,750,L,7500,3,4,1,13,3
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,11. Parapet, 458. New/repair steel railing,S2,5,3100,m,0,0,0,9,9999999,1
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,10,750,L,7500,2,2,9,120,1
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,4,3100,No,12400,2,2,1,8,3
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,08. Surfacing, 502. Resurface or patch,BA,10,750,m2,7500,1,1,1,13,3
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 402. Clear bush,BA,20,80,m2,1600,1,1,1,62,2
1355,P134/1 over Naboom spruit,Bridge,Bridge,7/22/2021,,Waterberg,,6/30/2022,11. Parapet, 454. New endblocks,AS,1,15350,No,15350,4,4,9,59,2
1366,D2700 over river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,07. Wing/ Retaining Walls, 155. Earth backfill,BA,6,630,m3,3780,4,4,9,238,1
1366,D2700 over river,Bridge,Bridge,8/23/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 404. Remove trees (girth < 500 mm),A2,1,750,No,750,1,1,1,133,1
